1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661633.460556, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 110
1648661634.808981, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661634.851386, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661634.877538, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661634.87785, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661634.89009, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661635.439169, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.481816, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.508783, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661635.508969, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661635.522139, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661635.52234, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661635.683202, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661635.722726, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661635.777208, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.777528, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.790167, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.806173, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661635.947135, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661635.983491, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661636.025162, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661636.051076, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.05133, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.063721, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.10382, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.16421, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648661636.164485, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
