1648663115.035755, sdrt-health/mac:02010b41cdec/state, online
1648663126.152414, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663126.152832, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.166195, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.18685, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.215889, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.216174, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.236698, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.287269, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.287452, sdrt-health/mac:02010b41cdec/antenna/power, 
1648663126.301934, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.337039, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 82
1648663126.365602, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.365904, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663126.387208, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.438067, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.500586, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663126.500768, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.515771, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.536175, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663126.601346, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.601518, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.615213, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.615675, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.637605, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.719777, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.720252, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663126.734773, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.735108, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.735301, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.757092, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.806698, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663126.807185, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663126.822224, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.857789, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.886922, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.887205, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663126.908027, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.956984, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663126.984951, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663126.985157, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663126.985278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663127.006574, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.05753, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.086174, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.086446, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.106966, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.179213, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.179784, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.216381, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.24555, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.24585, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.260475, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663127.260731, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
